Name,Address,LAT,LON,CEO,Year,Mission,Additional_information,Handicapped,Active_users,Collections,Wi-Fi
Strautiņu bibliotēka,"Zemenīte, Strautiņi, Alsviķu pag., Alūksnes nov., LV-4333",57.40463,26.89374,Svetlana Vēvere,1947,"Bibliotēka ir Alsviķu pagasta pārvaldes kultūras centrs, kas nodrošina bibliotekāros pakalpojumus un informācijas pieejamību ikvienam pagasta iedzīvotājam un visiem interesentiem, veicina pagasta sabiedrības izaugsmi un piedalās mūžizglītības procesā. Bibliotēka ir vietējās sabiedrības informācijas aprites vieta.",,Jā,200,5042,Jā
Strautiņu pamatskolas bibliotēka,"Strautiņu pamatskola, Strautiņi, Alsviķu pag., Alūksnes nov., LV-4333",57.40568,26.88947,Ligita Medisa,,,,,83,7382,
Strazdumuižas internātvidusskolas - attīstības centra vājredzīgiem un neredzīgiem bērniem bibliotēka,"Braila iela 24, Rīga, LV-1024",56.9833,24.25157,,1919,Esam specifiska bibliotēka vājredzīgiem un neredzīgiem bērniem. Sniedzam palīdzību mācību procesā un sociālo vajadzību apmierināšanā. Pēc vajadzības apkalpojam integrētos skolēnus ar redzes problēmām.,,Jā,244,14393,Jā
Strenču novada Plāņu pagasta  bibliotēka,"Skolas iela 2, Plāņi, Plāņu pag., Strenču nov., LV-4727",57.53833,25.86471,Daina Rezgale,1927,"Bibliotekārie, informacionālie, izglītojošie un kultūras pakalpojumi Plāņu pagasta iedzīvotājiem. Īpaši izvērsts darbs ar bērniem. ",,,72,3451,Jā
Strenču novada Sedas pilsētas bibliotēka,"Skolas laukums 2, Seda, Strenču nov., LV-4728",57.64817,25.75022,Viktorija Brjuņina,1956,"Bibliotēka darbojas kā kultūras, izglītības  un informācijas centrs Sedas pilsētas iedzīvotājiem. Pieejamie resursi - grāmatas, periodiskie izdevumi un citi dokumenti. Datoru ar interneta pieslēgumu brīvpieeja. ",,Jā,149,4698,Jā
Strenču novada vidusskolas bibliotēka,"Rīgas iela 13, Strenči, Strenču nov., LV-4730",57.62652,25.6831,Sanita Ļeļeva,,,,,158,10760,Jā
Strenču novada vidusskolas Sedas filiāles bibliotēka,"Skolas laukums 2, Seda, Strenču nov., LV-4728",57.65083,25.75082,Ināra Skrebe,,,,,58,10720,
Strenču pilsētas bibliotēka,"Pulkveža Zemitāna iela 5, Strenči, Strenču nov., LV-4730",57.62824,25.68421, Sarmīte Kosmane,1922,"Strenču pilsētas bibliotēkas misija ir padarīt bibliotēkas resursus pieejamus un noderīgus Strenču novada un apkārtnes iedzīvotājiem, kā arī sekmēt iedzīvotāju garīgo un intelektuālo attīstību un saglabāt vietējās nozīmes kultūras mantojumu, apkopojot novadpētniecības materiālus.",Interneta punkta darba laiks:;Pirmdiena 11:00-18:00 un pārējās darba dienās no 9:00 līdz 18:00. ;Sestdienās no 9:00-14:00;;Katra mēneša pēdējā ceturtdiena SPODRĪBAS DIENA. Bibliotēka slēgta.,Jā,680,7967,Jā
Striķu pamatskolas bibliotēka,"Striķu skola, Zvārdes pag., Saldus nov., LV-3883",56.60504,22.5144,,,,,,,4168,
Strūžānu pagasta bibliotēka,"Miera iela 14A, Strūžāni, Stružānu pag., Rēzeknes nov., LV-4643",56.69486,27.23831,Anna Esta,1965," Strūžānu pagasta bibliotēka ir Strūžānu pagasta pārvaldes kultūras, izglītības un informācijas iestāde, kas Bibliotēku likumā noteiktajā kārtībā reģistrēta Latvijas Republikas Kultūras ministrijā un veic pasaules kultūras mantojuma iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamību un tās izmantošanu.",,Jā,243,8241,Jā
Subates pamatskolas bibliotēka,"Tirgus laukums 20, Subate, Ilūkstes nov., LV-5471",56.00465,25.9063,Aiga Subatiņa,,Izglītības iestādes bibliotēka,,,65,1998,Jā
Subates pilsētas bibliotēka,"Tirgus laukums 20, Subate, Ilūkstes nov., LV-5471",56.00465,25.9063,Anita Šapala,1944,"Bibliotēkas darbība saistīta ar iedzīvotāju informacionālo apkalpošanu, kultūras un izklaides iespēju piedāvājumu pilsētas iedzīvotājiem. Bibliotēka strādā un arī turpmāk attīstīsies vairākos virzienos - lietotāju apmācība un izglītošana, krājuma veidošana, pakallpojumu pilnveide un uzlabošana, novadpētniecības darbs, kultūras pasākumi un izstādes.",mēneša trešā trešdiena - metodiskā diena;mēneša pēdējā piektdiena - spodrības diena,,300,8438,Jā
Sunākstes pagasta bibliotēka,"Saulstari, Sunākste, Sunākstes pag., Jaunjelgavas nov., LV-5130",56.45005,25.44481,Ramona Ukrina,1937,"Sunākstes pagasta bibliotēkas mērķis ir kļūt par kvalitatīvu kultūrvides un sabiedrības izglītojošu iestādi savā pagastā. Jau tagad bibliotēka būtībā pilda informācijas centra funkcijas, jo šeit ir plašas informācijas ieguves iespējas - gan no interneta, gan no periodikas un grāmatām. Vajadzīgo iespējams nokopēt, izprintēt, ieskanēt, nosūtīt pa faksu. Tāpat iespējams apgūt datorlietošanas iemaņas. Bibliotēka veic kultūras mantojuma saglabāšanu un popularizēšanu, sniedz dažādus bibliotekāros pakalpojumus.",Darba dienās pusdienas pārtraukums no 12:00 līdz 13:00;Piektdienās bez pusdienas pārtraukuma;Katra mēneša pēdējā piektdiena - spodrības diena (klientus neapkalpo),Jā,124,4373,Jā
Sunākstes pamatskolas bibliotēka,"Skola, Sunākste, Sunākstes pag., Jaunjelgavas nov., LV-5130",56.45681,25.48799,Ilze Lubāne,,,,,,5649,
Suntažu internātpamatskolas - rehabilitācijas centra bibliotēka,"Suntažu sanatorijas internātskola, Suntaži, Suntažu pag., Ogres nov., LV-5060",56.91037,24.93131,Sarmīte Ščucka,1961,"Internātpamatskola-rehabilitācijas centrs, kurā mācās un ārstējās bērni ar 1.tipa cukura diabētu un gastroenteroloģiskām saslimšanām. Ar 2012.m.g. skola īsteno speciālās programmas bērniem ar uzvedības traucējumiem un garīgās attīstības traucējumiem.",,,,6363,Jā
Suntažu pagasta bibliotēka,"Doktorāts, Suntaži, Suntažu pag., Ogres nov., LV-5060",56.90399,24.92626,Agnese Brauna,,"Bibliotēka apmeklētājiem piedāvā plašu grāmatu, periodikas un uzziņu literatūras klāstu, 5 datoru ar interneta pieslēgumu bezmaksas lietošanas iespēju, kā arī bezvadu internetu (WiFi), kopēšanas, printēšanas un skenēšanas pakalpojumus, iespēju uz vietas bibliotēkā, kā arī saņemt lasīšanai mājās, periodiku un citu literatūru, novadpētniecības mapes, starpbibliotēku abonementa izmantošanu, tematiski izzinošus pasākumus un izstādes.",Pēdējā mēneša ceturtdiena  - Metodiskā darba diena. Bibliotēka apmeklētājiem slēgta. ,Jā,373,6573,Jā
Suntažu vidusskolas bibliotēka ,"Suntažu vidusskola, Suntaži, Suntažu pag., Ogres nov., LV-5060",56.90673,24.92532,Valda Tuča,1956,"1. Izglītības programmu īstenošanai nepieciešamo mācību grāmatu, daiļliteratūras un citu dokumentu komplektēšana, uzskaite un apstrāde.;2. Skolēnu, skolotāju, tehnisko darbinieku, pagasta iedzīvotāju, studentu informacionālā un bibliotekārā apkalpošana.;3. Jaunākās literatūras popularizēšana.;4. Informācijas sistēmas ""Alise""darbība.;5. Sadarbība ar visu mācību priekšmetu skolotājiem.;6. Tematisko pēcpusdienu, bibliotekārās nedēļas organizēšana.;7. Palīdzība skolēniem projektu izvēlē, materiālu meklēšanā, darbu izstrādē.;8. Skolēnu, vecāku iesaistīšana ""Bērnu, jauniešu, vecāku žūrijā"", aktīva dalība tajā.",Mēneša pēdējā ceturtdiena- spodrības diena.,,291,10942,
Suntažu vidusskolas Lauberes filiāles bibliotēka,"Skolas iela 8, Laubere, Lauberes pag., Ogres nov., LV-5044",56.85667,25.01684,Gunita Purviņa  ,,"Skolas bibliotēkas darbības mērķis ir līdzdalība skolas licencētajās izglītības programmās noteikto mērķu īstenošanā atbilstoši valsts Izglītības standartiem un mācību programmām, iekļaušanās bibliotēku informācijas sistēmā. Nodrošināt brīvu informācijas pieejamību bibliotēkas lietotājiem, veicināt skolēnu patstāvīgās mācīšanās iemaņu veidošanos, veicināt skolēnu lasīšanas veicināšanas pasākumus. Atbalstīt skolotājus mācību priekšmetu programmu īstenošanā un audzināšanas darbā.",,,23,2495,
Sūnu pamatskolas bibliotēka,"Skolas iela 1, Kūkas, Kūku pag., Krustpils nov., LV-5222",56.54361,26.09109,,1920,vispārizglītojošā,,Jā,111,6927,
Svariņu pagasta bibliotēka,"Skolas iela 13, Svarinci, Svariņu pag., Dagdas nov., LV-5698",56.12736,27.75083,Ludmila Paskačima,1950,"Bibliotēka nodrošina lietotājiem informacionālos pakalpojmus gan tradicionālā veidā, gan izmantojot informācijas tehnoloģijas.;Apmeklētājiem tiek piedāvātas izstades, bibliotēkā tiek rīkoti dažādi temetiskie pasākumi.",,,140,6227,Jā
Sveķu internātpamatskolas bibliotēka,"Aduliena, Jaungulbenes pag., Gulbenes nov., LV-4420",57.07447,26.5159,Evija Makejeva ,1926,Izglītība,,,130,4947,
Sventes pagasta bibliotēka,"Alejas iela 11, Svente, Sventes pag., Daugavpils nov., LV-5473",55.90443,26.37604,Inesa Anaņko,1951,"Sventes pagasta bibliotēka ir izglītojošs, informatīvs un kultūras centrs. Bibliotēkas darbības mērķis ir visu pagasta iedzīvotāju bibliotekārā, bibliogrāfiskā un informatīvā apkalpošana.",Pārtraukums: 12:00 - 13:00,Jā,215,5231,Jā
Sventes vidusskolas bibliotēka,"Daugavpils iela 1, Svente, Sventes pag., Daugavpils nov., LV-5473",55.90437,26.38075,Olga Mihailova,,"Skolas bibliotēkas darbības pamatvirzieni:;- izglītības programmu īstenošanai nepieciešamo iespieddarbu un citu dokumentu komplektēšana, uzskaite, apstrāde, uzglabāšana, kataloģizēšana un klasificēšana.",,Jā,,6837,Jā
Svētes pagasta bibliotēka,"Skolas iela 2, Svēte, Svētes pag., Jelgavas nov., LV-3008",56.59229,23.67577,Minjona Ozola,,,Trešdiena - metodiskā diena. ,Jā,230,2898,Jā
Svētes pagasta Jēkabnieku bibliotēka,"Straumes iela 3, Jēkabnieki, Svētes pag., Jelgavas nov., LV-3028",56.53318,23.5996,Jautrīte Joze,1928,"Jēkabnieku bibliotēka ir Jēkabnieku kultūras, izglītības un informācijas iestāde, kura veic kultūras mantojuma - iespieddarbu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamību un tās izmantošanu.Bibliotēka ir sava veida sabiedrības centriņš.",Trešdiena metodiskā diena.,,223,3911,Jā
Svētes pamatskolas bibliotēka,"Vilces iela 6, Svēte, Svētes pag., Jelgavas nov., LV-3008",56.59218,23.67822,Inga Jansone,1836,"Svētes pamatskolas bibliotēkas darbības mērķis ir līdzdalība bibliotēkas iestādes licenzētajās izglītības programmās noteikto mērķu īstenošanā atbilstoši valsts izglītības standartiem un mācību priekšmetu programmām.;Skolas bibliotēka nodrošina literatūras un informācijas pieejamību, komplektējot iespieddarbus un dokumentus, sniedzot bibliotekāros pakalpojumus, uzziņas skolēniem, skolotājiem un skolas darbiniekiem.;Darbojas atbilstoši uzdevumiem, ko paredz skolas nolikums, darba plāns, mācību un audzināšanas plāni.;Svētes pamatskolas bibliotēkai 2015.gadā pabeigta rekatoloģizācija,; 2015.gada 19.maijā skolas bibliotēkai  veikta inventarizācija .;",,Jā,203,8806,
Svitenes pagasta bibliotēka,"Gaismas, Svitene, Svitenes pag., Rundāles nov., LV-3917",56.37768,23.93034,Ārija Geidāne,1957,,"Pusdienas laiks katru dienu no plkst.12:00-13:00;Katra mēneša pēdējā trešdiena - sanitārā diena;Brīvdienas: sestdiena, svētdiena",,159,6995,Jā
Š. Dubnova Rīgas Ebreju vidusskolas bibliotēka,"Miera iela 64, Rīga, LV-1013",56.96834,24.13577,E.Gibriha,1989,,Mēneša pēdēja piektdiena - spodrības diena,,368,9406,Jā
Šēderes pagasta bibliotēka,"Skolas iela 2, Šēdere, Šēderes pag., Ilūkstes nov., LV-5474",55.93236,26.17161,Ruta Šeršņova,1955,"Bibliotēka ir pašvaldības kultūras centrs, kas nodrošina bibliotekāros pakalpojumus un informācijas pieejamību ikvienam pagasta iedzīvotājam un visiem interesentiem, veicina pagasta sabiedrības izaugsmi un piedalās mūžizglītības procesā. Bibliotēka ir vietējās sabiedrības informācijas aprites vieta.",Katra mēneša trešā trešdiena metodiskā diena.;Katra mēneša pēdējā trešdiena sanitārā diena.;        ; Pārtraukums 13:00 līdz 13:30  ;;;;; ;,,159,6570,Jā
Šēderes pagasta Pašulienes bibliotēka,"6-1, Pašuliene, Šēderes pag., Ilūkstes nov., LV-5474",55.94381,26.24669,Aurika Jelinska,1981,"Pašulienes bibliotēka ir Ilūkstes novada centrālās bibliotēkas struktūrvienība. Tā ir kultūras, izglītības un informācijas iestāde, kuras darbības mērķis ir iedzīvotāju bibliotekārā, bibliogrāfiskā un informacionālā apkalpošana, kas ir saskaņā ar INCB apstiprināto nolikumu. Bibliotēkai ir kultūras, informācijas , izglītības , sociālās un izklaidējošās funkcijas.",Katra mēneša trešā trešdiena- metodiskā diena.;Katra mēneša pēdējā piektdiena- spodrības diena.,,140,6385,Jā
Šķaunes pagasta bibliotēka,"Tautas nams, Šķaune, Šķaunes pag., Dagdas nov., LV-5695",56.13937,28.00496,Jeļena Jermakoviča,1947,"Bibliotēka kā kultūras, izglītības un saskarsmes centrs",,,246,5019,Jā
Šķaunes sākumskolas bibliotēka,"Skola, Šķaune, Šķaunes pag., Dagdas nov., LV-5695",56.13628,28.00063,,1975,Skola īsteno vispārējās pirmsskolas izglītības programmu (kods 01011111) un pamatizglītības programmu (kods 21011111).,,Jā,31,5644,
Šķēdes pagasta bibliotēka,"Skolas iela 11, Šķēde, Šķēdes pag., Saldus nov., LV-3875",56.85541,22.37978,Egita Zasa,1955,"Šķēdes pagasta bibliotēka ir pašvaldības iestāde, kas veic iespieddarbu un citu dokumentu uzkrāšanu, sistematizēšanu, saglabāšanu un nodrošina informācijas pieejamību iedzīvotājiem. Bibliotēkas darbība vērsta uz mācību un darba kvalifikācijas un saturīga brīvā laika pavadīšanas iespēju pilnveidošanu.",Katra mēneša pēdējā trešdiena- metodiskā diena. Lasītājiem slēgts.,,277,6451,Jā
Šķeltovas pamatskolas bibliotēka,"Skolas iela 1, Šķeltova, Šķeltovas pag., Aglonas nov., LV-5653",56.02553,27.01114,Jeļena Kriviņa,,,,,48,5333,Jā
Šķibes pamatskolas bibliotēka ,"Skolas iela 3, Nākotne, Glūdas pag., Jelgavas nov., LV-3040",56.61873,23.44119,Sandra Pluģe,,Bibliotēkas darbības mērķis - līdzdalība izglītības iestādes licencētajās izglītības programmās noteikto mērķu īstenošanā atbilstoši valsts izglītības standartam un mācību priekšmetu programmām.,,,182,9763,
Špoģu vidusskolas bibliotēka,"Šosejas iela 3, Špoģi, Višķu pag., Daugavpils nov., LV-5481",56.07441,26.73478,Ingrīda Kolosovska,1956,,Pusdienlaiks 12:00-12:30,Jā,,11117,Jā
Tabores pagasta bibliotēka,"Oktobra iela 2A, Tabore, Tabores pag., Daugavpils nov., LV-5465",55.86872,26.64321,Ilga Kipļuka,1955,"Tabores pagasta bibliotēkai ir vietējā informācijas, izglītošanas, atpūtas un sociālās komunikācijas centra nozīme. Tā nodrošina kvalitatīvas informācijas pieejamību ikvienam lietotājam un komplektē iespieddarbus un citus dokumentus visām lietotāju grupām, ņemot vērā arī viņu vēlmes. Bibliotēkas misija ir padarīt savus informācijas resursus pieejamus un noderīgus Tabores pagasta iedzīvotājiem, saglabāt vietējas nozīmes kultūras mantojumu nākamajām paaudzēm.;Galvenais stratēģiskais mērķis: maksimāli palielināt bibliotēkas vērtību, nodrošinot jaunu un esošo lasītāju un lietotāju piesaisti.",,,257,6329,Jā
Talsu 2. vidusskolas bibliotēka,"Kārļa Mīlenbaha iela 32, Talsi, Talsu nov., LV-3201",57.24361,22.60446,Sabīne Bērziņa,1975,"Bibliotēkas pakalpojumi ir sekojoši:;1. grāmatu un citu informācijas nesēju izsniegšana līdzņemšanai vai lietošanai uz vietas Bibliotēkā;;2. lietotājiem paredzēto pakalpojumu (t.sk. datoru, interneta un vispārpieejamo elektroniskās informācijas resursu publiska pieejamība), iekārtu un aprīkojuma lietošana;;3. lietotāju apmācība un konsultēšana par Bibliotēkas krājumu un citiem informācijas resursiem, katalogiem, kartotēkām un citām informācijas meklēšanas sistēmām un to lietošanu;;4. bibliotekāro, bibliogrāfisko un faktogrāfisko uzziņu sniegšana;;5. Bibliotēku, literatūru un lasīšanu popularizējoši pasākumi;;6. atbalsts zinātniski pētnieciskajos darbos, attiecībā uz informācijas avotu meklēšanu, atsauču veidošanu un noformēšanu.;",,Jā,810,18562,Jā
Talsu Galvenā bibliotēka,"1. maija iela 28, Talsi, Talsu nov., LV-3201",57.24418,22.57333,Vija Nagle,1920,"Bibliotēkas misija: veicināt uz zināšanām balstītas sabiedrības attīstību, piedāvāt un nodrošināt to informāciju, ko vēlas saņemt bibliotēkas apmeklētāji, iekļauties tālākajā bibliotēkas informatizācijas procesā. ;Ar kvalitatīvu bibliotēkas attīstību un bibliotekāru apmācību jauno tehnoloģiju jomā, piedāvāt arvien vairāk jauna veida un kvalitātes pakalpojumus, izmantojot informācijas tehnoloģijas, kas veicina vienotas, saskaņotas sabiedrības veidošanos, mūžizglītību un sekmīgu attīstību. ;Bibliotēkā tiek nodrošināta lasītājiem draudzīga un pamudinoša vide mācībām un saturīgai brīvā laika pavadīšanai. ;",No 1. jūnija svētdienās slēgta.;No 1. jūlija līdz 31. augustam sestdienās un svētdienās slēgta.,,3323,66994,Jā
Talsu Galvenās bibliotēkas struktūrvienība Talsu bērnu bibliotēka,"Lielā iela 27, Talsi, Talsu nov., LV-3201",57.24433,22.59263,Ilze Jaunbērziņa,1951," Bērnu bibliotēka ir kultūrizglītības iestāde, kas nodrošina estētisku un patīkamu vidi Talsu 6 skolu audzēkņiem saturīga brīvā laika pavadīšanai un mācībām.;Bērni, jaunieši, vecāki, skolotāji, tuvākās apkārtnes cilvēki izmanto regulāri komplektētu grāmatu fondu, visus Latvijā pasūtāmos bērnu un jauniešu preses izdevumus, interneta resursus, kopēšanas, printēšanas, skenēšanas pakalpojumus.;Gada laikā bērni un jaunieši piedalās vairāk kā 90 dažāda satura pasākumos, tiekas ar rakstniekiem. Bibliotēkā apskatāmas izstādes, kurās literatūru papildina zīmējumi, rokdarbi, citas bērnu roku darinātas mākslinieciskas lietiņas. Bibliotēkas estētisko vidi bagātina Talsu Mākslas skolas audzēkņu darbi. Bibliotēkas ikdienu saistošāku veido ceļojošās izstādes no Latvijas Nacionāļās bibliotēkas.;Lasīšanas programmas „Bērnu Žūrija” eksperti nopelna dalību „Lielajos lasīšanas svētkos. uz kuriem aicināti visa Talsu reģiona Bērnu žūrijas eksperti.; ",,,1462,16270,Jā
Talsu novada  Uguņu bibliotēka,"Avoti, Uguņciems, Vandzenes pag., Talsu nov., LV-3284",57.37748,22.95783,Anita Švalbe,1924,"Uguņu bibliotēkas misija ir būt par informācijas piegādātāju un padomdevēju klientam. Tās galvenais uzdevums ir nodrošināt visiem bibliotēkas lietotājiem brīvu, neierobežotu literatūras un informācijas saņemšanu.",,,135,4449,Jā
Talsu novada Abavas bibliotēka,"Vecvalgale, Valgale, Abavas pag., Talsu nov., LV-3294",57.05124,22.47325,Ritma Vītola,1927,Bibliotēkas misija - būt par informācijas un komunikācijas centru visiem iedzīvotājiem. Tā piedāvā brīvu un vienlīdzīgu iespēju piekļūt vispusīgai informācijai. Bibliotēkas sniegtie pakalpojumi ir vienādi pieejami visiem iedzīvotājiem.,,,78,4259,Jā
Talsu novada Ausekļa bibliotēka,"Pansionāts, Lauciene, Laucienes pag., Talsu nov., LV-3285",57.21354,22.76066,Raisa Prūse,1989,"Bibliotēkas misija ir nodrošināt iedzīvotājiem brīvu pieeju dažādiem informācijas resursiem, sniegt atbalstu visa veida izglītībai un piedāvāt saturīgu brīvā laika pavadīšanas iespēju.",,Jā,155,4621,Jā
Talsu novada Balgales  bibliotēka,"Grantiņi, Dursupe, Balgales pag., Talsu nov., LV-3287",57.19072,22.8769,Inta Plivna,1932,,,,182,8509,Jā
Talsu novada Dižstendes bibliotēka,"Brūži, Dižstende, Lībagu pag., Talsu nov., LV-3258",57.1915,22.55294,Astra Arbidāne,1985,"Dižstendes bibliotēkas fonds un pieejamais preses izdevumu klāsts piesaista dažādas lietotāju grupas. Interneta pieslēgums atvieglo vietējo iedzīvotāju darba meklējumus un dažādu norēķinu veikšanu, kā arī bagātina jauniešu un pārējo interesentu brīvā laika pavadīšanas iespējas. Telpas kopš 2009. gada pieejamas arī cilvēkiem ar kustību traucējumiem. Reizi mēnesī Dižstendes bibliotēkā iespējams norēķināties par saņemtajiem komunālajiem pakalpojumiem, un aptuveni reizi gadā iespējams tikties ar zemes mērnieku un kārtot jautājumus saistībā ar Dižstendes teritorijā esošajiem mazdārziņiem.",Vasaras periodā no 1.jūnija līdz septembra otrajai nedēļai (atvaļinājumu laikā) Dižstendes bibliotēka sestdienās nestrādā.,Jā,400,8899,Jā
Talsu novada Īves  bibliotēka,"Pils, Tiņģere, Īves pag., Talsu nov., LV-3261",57.45,22.52601,Guntra Grīnberga,1935,"Lasītāju pieprasījumam atbilstošas literatūras komplektēšana, darbs ar bērniem un jauniešiem lasītprasmes padzīļināšanai. Bibliotēkā darbojas interešu klubs ""Līīdzi laikam"". Jauno lasītāju piesaiste bibliotēkai.;Pieaugušo mūžizglītīības nodrošināšana atbilstoši sabiedrības pieprasījumam.",,,208,9347,Jā
Talsu novada Ķūļciema  bibliotēka,"Tīrumi-1, Ķūļciems, Ķūļciema pag., Talsu nov., LV-3283",57.26973,23.03065,Gunita Švarcbaha,1926,"Ķūļciema pagasta bibliotēkai pagastā ir kultūras, informācijas, izglītības, izklaidējošas un sociālas funkcijas. Bibliotēkas mērķis ir bibliotekārā un informacionālā apkalpošana. Galvenais uzdevums nodrošināt visiem bibliotēkas lietotājiem brīvu, neierobežotu literatūras un informācijas saņemšanu. Krājuma attīstība balstās uz mērķtiecīgu dažādu lietotāju grupu informacionālo vajadzību apmierināšanu: mācību un studiju veicināšanai,;individuālās tālākizglītības un mūžizglītības atbalstīšanai,;praktiska rakstura informācijas, izziņu un padomu ieguvei,;visu vecuma grupu lasīšanas aktivitāšu atbalstīšanai,;informētas, saskaņotas un integrētas sabiedrības veidošanas veicināšanai,;kultūras mantojuma, tradīciju un mākslas apzināšanai.;Īpaši tiek strādāts ar mazajiem bibliotēkas lietotājiem, kopīgi lasām, zīmējam un strādājam ar datoriem.;",Pusdienas pārtraukums no 12:00 līdz 13:00,,138,6892,Jā
Talsu novada Laidzes  bibliotēka,"Mežrozes, Laidze, Laidzes pag., Talsu nov., LV-3280",57.28703,22.66057,Dace Bunte,1923,"Bibliotēkas misija ir nodrošināt pagasta iedzīvotājiem brīvu pieeju dažādiem informācijas resursiem, sniegt atbalstu visa veida izglītībai un piedāvāt saturīgu brīvā laika pavadīšanas iespēju.",,Jā,449,9302,Jā
Talsu novada Laucienes  bibliotēka,"Bitītes, Lauciene, Laucienes pag., Talsu nov., LV-3285",57.22875,22.75858,Daina Bočkore,1910,"Bibliotēka piedāvā un sniedz dažādus pakalpojumus –grāmatas un presi, internetu un datoru izmantošanu, printēšanu, kopēšanu, uzziņas un konsultācijas, izstādes un pasākumus.",,Jā,166,8743,Jā
Talsu novada Lībagu bibliotēka,"Pagastmāja, Mundigciems, Lībagu pag., Talsu nov., LV-3258",57.21559,22.60196,Īrisa Apše,1923,"Lībagu pagasta bibliotēka (dibināta 1891.gadā) ir likumā noteiktā kārtībā reģistrēta pašvaldības kultūras, izglītības un informācijas patstāvīga iestāde, un tās darbības mērķis ir iedzīvotāju bibliotekārā, bibliogrāfiskā un informacionālā apkalpošana. Bibliotēkai ir kultūras, izglītības, sociālās, informācijas un izklaides funkcijas. Lībagu bibliotēkas darbība balstīta uz Bibliotēkas nolikumu.",Katra mēneša otrajā trešdienā bibliotēka slēgta - spodrības diena,Jā,547,10246,Jā
Talsu novada Lubes  bibliotēka,"Sniedzes, Anuži, Lubes pag., Talsu nov., LV-3262",57.42357,22.6028,Dace Dērica,1945,,,Jā,184,6380,Jā
Talsu novada Nogales bibliotēka,"Nogales tautas nams, Nogale, Ārlavas pag., Talsu nov., LV-3260",57.37012,22.73538,Vineta Reine,1910,"Darbības mērķis – iedzīvotāju bibliotekārā, bibliogrāfiskā un informacionālā apkalpošana.",,,77,5399,Jā
Talsu novada Pastendes bibliotēka,"Skolas iela 2, Pastende, Ģibuļu pag., Talsu nov., LV-3251",57.22418,22.52171,Dzintra Ūdre,1924," Ir elektroniskā lasītāju apkalpošana. Bibliotēkas fonds gan pieaugušajiem, gan bērniem.",,,724,13176,Jā
Talsu novada Pļavu bibliotēka,"Pļavu skola, Laucienes pag., Talsu nov., LV-3285",57.25191,22.8663,Benita Šuršina,1947,,,,152,5051,Jā
Talsu novada Sabiles  bērnu bibliotēka,"Talsu iela 1/7, Sabile, Talsu nov., LV-3294",57.04604,22.57309,Rudīte Matisone,1955,"Bibliotēkai ir kultūras, informācijas, izglītības, sociālās un izklaidējošās funkcijas. Galvenais uzdevums- nodrošināt visiem bibliotēkas lietotājiem brīvu, neierobežotu literatūras un informācijas saņemšanu. Veidot bērniem interesantu, izzinošu vidi, pasākumus un izstādes.  ",,Jā,463,8067,Jā
Talsu novada Sabiles  bibliotēka,"Ventspils iela 14, Sabile, Talsu nov., LV-3294",57.04812,22.57075,Dagnija Kalniņa,1920,Sabiles bibliotēka veic darbu visos bibliotēku darba pamatvirzienos.,No 1. maija līdz 1. oktobrim bibliotēkas darba laiks darba dienās 9:00-17:00. Sestdienās slēgts.,,696,12669,Jā
Talsu novada Spāres bibliotēka,"Spāres muiža, Spāre, Ģibuļu pag., Talsu nov., LV-3298",57.21137,22.28722,Velga Brikmane,1910,"Bibliotēka apkalpo visa vecuma lasītājus. Bibliotēka ir orientēta uz klientu un nodrošina iespēju ikvienam pagasta iedzīvotājam paaugstināt savu intelektu, iegūt papildus zināšanas visā savā dzīves laikā, atbilstoši sabiedrības un personības interesēm un vajadzībām.",Vasaras mēnešos darba laiks darba dienās no 09.00 līdz 17.00,,248,8846,Jā
Talsu novada Stendes  bibliotēka,"Dumpīšu iela 3A, Stende, Talsu nov., LV-3257",57.15103,22.53958,Dace Kalniete,1929,"Bibliotēkas misija – būt starpniekam starp sabiedrību un zināšanām, veicināt informācijas sabiedrības veidošanos. Bibliotēkas ilgtermiņa attīstības mērķis ir veicināt iedzīvotāju daudzveidīgu un ilgspējīgu informacionālo apkalpošanu.",,,643,13916,Jā
Talsu novada Strazdes  bibliotēka,"Strazdes muiža, Strazde, Strazdes pag., Talsu nov., LV-3291",57.13077,22.7247,Silvija Niķe,1922,"Bibliotēkas misija – būt starpniekam starp sabiedrību un zināšanām, veicināt informācijas sabiedrības veidošanos. Bibliotēkas ilgtermiņa attīstības mērķis ir veicināt iedzīvotāju daudzveidīgu un ilgspējīgu informacionālo apkalpošanu.",Pusdienu pārtraukums no 12:00 līdz 13:00,,169,5366,Jā
Talsu novada Vakara un neklātienes vidusskolas bibliotēka,"Kārļa Mīlenbaha iela 30, Talsi, Talsu nov., LV-3201",57.2436,22.6035,Ineta pugoviča,,,,Jā,182,5343,Jā
