Name,Address,LAT,LON,CEO,Year,Mission,Additional_information,Handicapped,Active_users,Collections,Wi-Fi
Amatas novada Amatas pagasta Ģikšu bibliotēka,"Egļu iela 1, Ģikši, Amatas pag., Amatas nov., LV-4141",57.17266,25.32406,Dace Lāce,1951,"Amatas novada pašvaldības Ģikšu bibliotēka ir izglītības, informācijas un kultūras iestāde, kas veic iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, kā arī nodrošina informācijas pieejamību un izmantošanu iedzīvotājiem.",Pārtraukums 12:30 līdz 13:00,,196,6442,Jā
Amatas novada Drabešu Jaunā pamatskolas bibliotēka,"Drabešu internātskola, Drabeši, Drabešu pag., Amatas nov., LV-4101",57.24463,25.27889,Logina Ingrida,,,Pārtraukums 12:00 - 13:00,,172,10711,Jā
Amatas novada Ieriķu bibliotēka,"Lielā iela 30, Ieriķi, Drabešu pag., Amatas nov., LV-4139",57.20108,25.17276,Ilze Eglīte,,"Bibliotēka atrodas Ieriķu Sabiedriskajā centrā. Bibliotekā notiek dažādi pasākumi - koncerti, izstādes, bērnu pasākumi.  Bibliotēka piedalās Bērnu un jauniešu žūrijas darbā , Ziemeļvalstu bibliotēku nedēļas pasākumos u.c.",,Jā,122,2412,Jā
Amatas novada Līvu bibliotēka,"Zvārtas iela 6, Līvi, Drabešu pag., Amatas nov., LV-4101",57.27859,25.2422,Lidija Rutkovska,1908,,,Jā,305,7101,Jā
Amatas novada Skujenes pagasta bibliotēka,"Gaismas, Skujene, Skujenes pag., Amatas nov., LV-4143",57.09188,25.47092,Ieva Palkavniece,1910,"Amatas novada Skujenes pagasta bibliotēka ir pašvaldības kultūras, izglītības un informācijas iestāde. Kopš 2011. gada 1. jūnija bibliotēkai pievienots Amatas novada Skujenes pagasta Sērmūkšu bibliotēkas krājums. Sērmūkšu ciemā izveidots ārējais apkalpošanas punkts.",,Jā,179,8676,Jā
Amatas novada Zaubes pagasta bibliotēka,"Bērzaines, Zaube, Zaubes pag., Amatas nov., LV-4113",56.99908,25.26643,Tamāra Miķelsone,1923,"Bibliotēka nodrošina bibliotekāros pakalpojumus, informācijas pieejamību ikvienam pagasta un novada iedzīvotājam un visiem interesentiem, veic literatūras popularizēšanu, novadpētniecības materiālu apzināšanu, vākšanu un uzkrāšanu.",Otrdien - slēgts,Jā,126,6189,Jā
Amatas pamatskolas bibliotēka,"Lielā iela 10, Ieriķi, Drabešu pag., Amatas nov.",57.16725,25.27817,Viola Griba,1871,,,,102,6442,Jā
Ambeļu pagasta bibliotēka,"Parka iela 3, Ambeļi, Ambeļu pag., Daugavpils nov., LV-5438",56.03994,26.83941,Zoja Rubene,1954," Izmantojot dažādus pasākumus un resursus, piesaistīt bibliotēkai dažādus       iedzīvotāju sociālos slāņus.;• apgūt jaunākās mūsdienu tehnoloģijas un apmācīt bibliotēkas apmeklētājus darbam ar tām.;• kvalitatīvi turpināt krājuma komplektēšanu, ņemot vērā lasītāju pieprasījumu.  ;",Pārtraukums no 13.00 līdz 14.00,,230,4881,Jā
Ances bibliotēka,"Vālodzes, Ance, Ances pag., Ventspils nov., LV-3612",57.5119,22.02139,Baiba Manteja,1945,"Bibliotēka veic informācijas, izglītības, sociālās, kā arī izklaidējošās funkcijas. Tā nodrošina visiem bibliotēkas lietotājiem brīvu un neierobežotu literatūras un informācijas saņemšanu. Bibliotēka sadarbojas ar Ances pirmsskolas izglītības iestādi, Ances pamatskolu. No 2001.gada bibliotēkā darbojas lasītāju interešu klubiņš ""Dažādības"".",Pusdienas pārtraukums 13:00-13:30 ;Mēneša pēdējās ceturtdienās - slēgts,Jā,211,6215,Jā
Ances pamatskolas bibliotēka,"Skola, Ance, Ances pag., Ventspils nov., LV-3612",57.51318,22.02303,Baiba Manteja,1932,,,,74,5552,
Andreja Eglīša Ļaudonas vidusskolas bibliotēka,"Skolas iela 1, Ļaudona, Ļaudonas pag., Madonas nov., LV-4862",56.70432,26.19586,Nadīne Jefimova,1950,"Līdzdalība skolas licencēto un akreditēto izglītības programmu īstenošanā; izglītības programmu īstenošanai nepieciešamo iespieddarbu, dokumentu komplektēšana, uzskaite, apstrāde, uzglabāšana; bibliogrāfisko un bibliotekāro pakalpojumu sniegšana; līdzdalība izglītojošo pasākumu organizēšanā; skolēnu informācijas meklēšanas prasmju pilnveidošana; intereses par grāmatu lasīšanu veicināšana. Skolas bibliotēkā ir radīta mājīga, draudzīga, atbalstoša, pozitīva un arī rotaļīga gaisotne.",,,217,5951,
Andreja Pumpura Rīgas 11. pamatskolas bibliotēka,"Maskavas iela 197, Rīga, LV-1019",56.93275,24.16093,Diāna Moškarina,,"Bibliotēka nodrošina mācību un metodisko izdevumu, nozaru, izziņas un daiļliteratūras izdevumu, kā arī citu informācijas avotu pieejamību un apriti, atbalstot mācību procesu un vispārējo skolas darbību; strādā pie skolēnu lasīšanas kultūras sekmēšanas un informācijpratības attīstīšanas.",,Jā,675,18999,Jā
Andreja Upīša Skrīveru bibliotēka,"Andreja Upīša iela 1, Skrīveri, Skrīveru nov., LV-5125",56.64572,25.11956,Karmena Ulpe,1922,"Bibliotēkas misija - veicināt sabiedrības attīstību un izglītību, nodrošinot informācijas pieejamību",Katra mēneša pēdējā ceturtdiena - Spodrības diena,,697,13205,Jā
Andreja Upīša Skrīveru vidusskolas bibliotēka,"Stacijas laukums 1, Skrīveri, Skrīveru nov., LV-5125",56.64692,25.12113,Aija Zvaigznīte,1924,,,,300,8138,Jā
Andrupenes pagasta bibliotēka,"Skolas iela 3, Andrupene, Andrupenes pag., Dagdas nov., LV-5687",56.18951,27.3963,Beneventa Račinska,1949,,Pusdienu pārtraukums  12.00-13.00,,310,7524,Jā
Andrupenes pamatskolas bibliotēka,"Skolas iela 6, Andrupene, Andrupenes pag., Dagdas nov., LV-5687",56.18824,27.39791,Artūrs Babris,,,,,60,6449,
Andzeļu pagasta bibliotēka,"Ausekļi, Andzeļi, Andzeļu pag., Dagdas nov., LV-5696",56.16858,27.55338,Olga Saule,1953,"Iedzīvotāju informacionālā apkalpošana, uzziņu sniegšana, informācijas tehnoloģiju pielietošana, bērnu un pusaudžu piesaiste bibliotēkai, grāmatu krājuma bagātināšana, fonda attīrīšana no novecojušas literatūras.",,Jā,152,5719,Jā
